age_group,genres,watch_count,avg_rating
18-24,Action,50186,3.447096799904356
18-24,Adventure,26324,3.408524540343413
18-24,Animation,10269,3.624014022787029
18-24,Children's,16924,3.294256676908532
18-24,Comedy,69980,3.4604172620748783
18-24,Crime,15373,3.6680543810576984
18-24,Documentary,1081,3.86586493987049
18-24,Drama,58104,3.721929643398045
18-24,Fantasy,7875,3.3537777777777777
18-24,Film-Noir,2280,3.9973684210526317
18-24,Horror,15184,3.17268177028451
18-24,Musical,7555,3.560291197882197
18-24,Mystery,6401,3.5253866583346354
18-24,Romance,25656,3.53429996881821
18-24,Sci-Fi,29033,3.4260668894017154
18-24,Thriller,35877,3.494634445466455
18-24,War,10874,3.853135920544418
18-24,Western,2863,3.4715333566189313
25-34,Action,105678,3.453358314881054
25-34,Adventure,52633,3.443163034598066
25-34,Animation,16454,3.7012276650054696
25-34,Children's,25743,3.4268733247873207
25-34,Comedy,143210,3.490384749668319
25-34,Crime,33030,3.6803209203754164
25-34,Documentary,3489,3.946689595872743
25-34,Drama,138695,3.7264284941778723
25-34,Fantasy,14290,3.452484254723583
25-34,Film-Noir,6539,4.058724575623184
25-34,Horror,31235,3.200096046102129
25-34,Musical,14705,3.619857191431486
25-34,Mystery,15160,3.6108179419525066
25-34,Romance,58003,3.5467303415340585
25-34,Sci-Fi,63156,3.443821647982773
25-34,Thriller,77429,3.535471205878934
25-34,War,24830,3.8412404349577125
25-34,Western,7053,3.6078264568268823
35-44,Action,50503,3.5381066471298737
35-44,Adventure,26682,3.5152912075556557
35-44,Animation,8117,3.740544536158679
35-44,Children's,14004,3.5184233076263927
35-44,Comedy,69244,3.5619837097799087
35-44,Crime,14895,3.7337361530715003
35-44,Documentary,1708,3.9537470725995316
35-44,Drama,71590,3.7825115239558595
35-44,Fantasy,7006,3.482300884955752
35-44,Film-Noir,4175,4.0649101796407185
35-44,Horror,15122,3.276021690252612
35-44,Musical,8746,3.721587011205122
35-44,Mystery,8179,3.697395769653992
35-44,Romance,29330,3.651142175247187
35-44,Sci-Fi,32333,3.502118578542047
35-44,Thriller,36840,3.6159337676438654
35-44,War,14514,3.901129943502825
35-44,Western,4546,3.67927848658161
45-49,Action,19357,3.528542646071189
45-49,Adventure,10738,3.528962562860868
45-49,Animation,2889,3.7348563516787814
45-49,Children's,5400,3.5275925925925926
45-49,Comedy,27890,3.5917891717461456
45-49,Crime,6048,3.750661375661376
45-49,Documentary,687,3.9665211062590977
45-49,Drama,32141,3.7843564294825924
45-49,Fantasy,2695,3.5324675324675323
45-49,Film-Noir,1860,4.105376344086022
45-49,Horror,6192,3.2622739018087854
45-49,Musical,3898,3.7444843509492047
45-49,Mystery,3851,3.7543495196052974
45-49,Romance,13283,3.6859896107806973
45-49,Sci-Fi,13040,3.482515337423313
45-49,Thriller,14933,3.639657135203911
45-49,War,6642,3.9605540499849443
45-49,Western,2133,3.6671354899203
50-55,Action,17012,3.611333176581237
50-55,Adventure,9090,3.628162816281628
50-55,Animation,2032,3.78001968503937
50-55,Children's,3890,3.556555269922879
50-55,Comedy,23133,3.6468681104915057
50-55,Crime,5520,3.8106884057971016
50-55,Documentary,555,3.908108108108108
50-55,Drama,29247,3.878414880158649
50-55,Fantasy,2127,3.5815702867889048
50-55,Film-Noir,1870,4.175401069518717
50-55,Horror,4681,3.1589403973509933
50-55,Musical,3093,3.798254122211445
50-55,Mystery,3520,3.8857954545454545
50-55,Romance,11373,3.758111316275389
50-55,Sci-Fi,10674,3.5644556867153834
50-55,Thriller,13240,3.709667673716012
50-55,War,6314,3.9741843522331326
50-55,Western,2420,3.7413223140495866
56+,Action,8143,3.6107085840599287
56+,Adventure,4488,3.6490641711229945
56+,Animation,1083,3.7562326869806095
56+,Children's,1888,3.621822033898305
56+,Comedy,11961,3.6509489173146057
56+,Crime,2974,3.8325487558843307
56+,Documentary,260,3.9615384615384617
56+,Drama,17269,3.933464589727257
56+,Fantasy,948,3.532700421940928
56+,Film-Noir,1207,4.125932062966031
56+,Horror,1761,3.2544009085746737
56+,Musical,1889,3.8867125463208048
56+,Mystery,2147,3.8905449464368886
56+,Romance,6279,3.8165312947921644
56+,Sci-Fi,4880,3.497745901639344
56+,Thriller,6537,3.719749120391617
56+,War,3775,4.067284768211921
56+,Western,1333,3.792198049512378
Under 18,Action,6578,3.5063849194283976
Under 18,Adventure,3998,3.449974987493747
Under 18,Animation,2449,3.4761126990608413
Under 18,Children's,4337,3.2416416878026286
Under 18,Comedy,11162,3.4974914889804696
Under 18,Crime,1701,3.7101704879482655
Under 18,Documentary,130,3.730769230769231
Under 18,Drama,7483,3.7947347320593345
Under 18,Fantasy,1360,3.3176470588235296
Under 18,Film-Noir,330,4.1454545454545455
Under 18,Horror,2211,3.2541836273179556
Under 18,Musical,1647,3.568306010928962
Under 18,Mystery,920,3.631521739130435
Under 18,Romance,3599,3.621283689913865
Under 18,Sci-Fi,4178,3.4786979415988513
Under 18,Thriller,4824,3.550373134328358
Under 18,War,1578,3.8954372623574143
Under 18,Western,335,3.5761194029850745
