category,channel_number,channel_name
지상파/종편,5,SBS
지상파/종편,7,KBS2
지상파/종편,9,KBS1
지상파/종편,11,MBC
지상파/종편,14,EBS1
지상파/종편,15,JTBC
지상파/종편,16,MBN
지상파/종편,18,채널A
지상파/종편,19,TV조선
지상파/종편,26,OBS
지상파/종편,95,EBS2
지상파/종편,999,U+투데이
어린이/교육,300,캐리TV
어린이/교육,312,EBS키즈
어린이/교육,320,브라보키즈
어린이/교육,322,어린이TV
어린이/교육,324,투니버스
어린이/교육,325,애니원
어린이/교육,340,EBS+1
어린이/교육,341,EBS+2
어린이/교육,342,EBS English
어린이/교육,343,JEI EnglishTV
어린이/교육,344,에듀TV
어린이/교육,311,플레이런TV
어린이/교육,327,애니박스
어린이/교육,316,카툰네트워크
어린이/교육,321,KBS키즈
어린이/교육,323,JEI재능TV
어린이/교육,328,애니플러스
어린이/교육,305,뽀요TV
어린이/교육,317,카투니토
어린이/교육,326,애니맥스
어린이/교육,303,Cbeebies
어린이/교육,309,드림웍스채널
어린이/교육,345,Davinci Learning
어린이/교육,306,키즈톡톡+
예능,1,KBS조이
예능,3,tvN
예능,22,엠넷
예능,33,SBS플러스
예능,42,tvN STORY
예능,80,tvN DRAMA
예능,82,TV조선2
예능,84,채널A+
예능,88,JTBC4
예능,29,MBC에브리원
예능,38,SBS퍼니
예능,83,라이프타임
예능,98,tvN SHOW
예능,0,더라이프
예능,39,더라이프2
예능,40,JTBC2
예능,59,SBS FiL
예능,60,펀TV
예능,61,채널S
예능,76,E채널
예능,77,코미디TV
예능,79,K스타
예능,81,SPOTV K
예능,86,동아TV
예능,87,GTV
예능,89,채널이엠
예능,94,채널S 플러스
예능,97,CMCTV
예능,155,채널와이드
예능,62,ENA PLAY
예능,90,ENA STORY
예능,92,E LIKE
예능,93,StoryTV
예능,96,채널뷰
음악,91,MBC M
음악,150,아이넷TV
음악,152,GMTV
음악,153,가요TV
음악,158,SBS M
음악,151,이벤트TV
음악,154,INETLIFE
음악,159,TV조선3
음악,156,i show
성인,390,플레이보이
성인,391,미드나잇
성인,392,비키
성인,393,허니TV
성인,394,디자이어TV
성인,395,핑크하우스
성인,396,비너스TV
UHD,976,SBS필 UHD
UHD,977,UXN-UHD
UHD,971,SKY UHD
UHD,972,INULTRA
UHD,973,ASIA UHD
UHD,974,UMAX
UHD,975,UHD Dream TV
뉴스/경제,23,연합뉴스TV
뉴스/경제,24,YTN
뉴스/경제,165,토마토증권통
뉴스/경제,27,SBS Biz
뉴스/경제,168,팍스경제TV
뉴스/경제,205,아리랑TV
뉴스/경제,209,NHK World Premium
뉴스/경제,162,한국경제TV
뉴스/경제,163,MTN 머니투데이방송
뉴스/경제,164,매일경제TV
뉴스/경제,166,이데일리TV
뉴스/경제,167,서울경제TV
뉴스/경제,171,연합뉴스경제TV
뉴스/경제,172,DealSite경제TV
뉴스/경제,200,CNN International
뉴스/경제,169,NBNTV
뉴스/경제,170,토마토집통
뉴스/경제,201,BBC News
뉴스/경제,202,CNBC
뉴스/경제,206,CGTN
뉴스/경제,207,NHK World-JAPAN
뉴스/경제,208,CCTV4
뉴스/경제,203,블룸버그
뉴스/경제,204,CNN US
뉴스/경제,210,TV5몽드
홈쇼핑,2,KT알파 쇼핑
홈쇼핑,4,홈앤쇼핑
홈쇼핑,6,GS샵
홈쇼핑,8,CJ온스타일
홈쇼핑,10,롯데홈쇼핑
홈쇼핑,12,현대홈쇼핑
홈쇼핑,13,NS홈쇼핑
홈쇼핑,17,SK스토아
홈쇼핑,20,공영쇼핑
홈쇼핑,21,신세계쇼핑
홈쇼핑,28,W쇼핑
홈쇼핑,30,GS마이샵
홈쇼핑,32,CJ온스타일플러스
홈쇼핑,34,현대홈쇼핑+샵
홈쇼핑,36,롯데 OneTV
홈쇼핑,37,쇼핑엔티
홈쇼핑,41,NS샵+
영화/시리즈,43,무비+
영화/시리즈,44,OCN
영화/시리즈,45,OCN Movies
영화/시리즈,49,더 무비
영화/시리즈,51,OCN Movies2
영화/시리즈,136,중화TV
영화/시리즈,137,채널차이나
영화/시리즈,48,엠플렉스
영화/시리즈,142,채널U
영화/시리즈,143,텔레노벨라
영화/시리즈,50,인디필름
영화/시리즈,54,채널액션
영화/시리즈,55,AsiaM
영화/시리즈,57,월드 클래식 무비
영화/시리즈,138,아시아N
영화/시리즈,140,채널나우
영화/시리즈,141,AXN
영화/시리즈,144,채널J
영화/시리즈,146,채널W
영화/시리즈,139,채널칭
영화/시리즈,46,스크린
영화/시리즈,47,씨네프
영화/시리즈,56,셀레스티얼 무비
영화/시리즈,58,시네마천국
영화/시리즈,147,HITS
영화/시리즈,52,캐치온1
영화/시리즈,53,캐치온2
스포츠/레저,99,SBS Golf2
스포츠/레저,107,스포티비
스포츠/레저,108,스포티비2
스포츠/레저,113,IB스포츠
스포츠/레저,116,tvN SPORTS
스포츠/레저,117,Golf & PBA
스포츠/레저,118,빌리어즈TV
스포츠/레저,127,OLIFE
스포츠/레저,132,브레인TV
스포츠/레저,134,폴라리스TV
스포츠/레저,105,KBSN스포츠
스포츠/레저,112,스카이스포츠
스포츠/레저,119,OGN
스포츠/레저,100,SBS골프
스포츠/레저,101,JTBC골프
스포츠/레저,102,JTBC 골프앤스포츠
스포츠/레저,103,스포티비 골프 앤 헬스
스포츠/레저,104,SBS스포츠
스포츠/레저,106,MBC스포츠+
스포츠/레저,121,FTV
스포츠/레저,122,한국낚시방송
스포츠/레저,126,BallTV
스포츠/레저,128,볼링플러스
스포츠/레저,129,마운틴TV
스포츠/레저,130,바둑TV
스포츠/레저,131,K바둑
스포츠/레저,115,스크린골프존
스포츠/레저,120,AfreecaTV
스포츠/레저,123,채널 MX
스포츠/레저,124,생활체육TV
스포츠/레저,125,STN
스포츠/레저,114,유로스포츠
스포츠/레저,135,엔터TV
스포츠/레저,190,i play
스포츠/레저,109,SPOTV PRIME+
스포츠/레저,110,SPOTV PRIME
스포츠/레저,111,SPOTV PRIME2
스포츠/레저,149,DOG TV
교양/다큐,180,한국농업방송
교양/다큐,175,헬스메디TV
교양/다큐,177,MBCNET
교양/다큐,25,YTN사이언스
교양/다큐,174,엑스원
교양/다큐,176,쿠키건강TV
교양/다큐,179,리얼TV
교양/다큐,192,리빙 TV
교양/다큐,194,디스커버리
교양/다큐,218,히스토리
교양/다큐,230,한경arteTV
교양/다큐,181,OBS W
교양/다큐,184,KBS LIFE
교양/다큐,185,Now 제주채널
교양/다큐,186,실버아이TV
교양/다큐,188,시니어TV
교양/다큐,304,대교 뉴이프Plus
교양/다큐,145,YTN2
교양/다큐,178,나인컬러스
교양/다큐,187,채널i
교양/다큐,217,BBC Earth
교양/다큐,220,아웃도어 채널
교양/다큐,231,ORFEO
교양/다큐,189,국악방송
교양/다큐,191,RNA
교양/다큐,221,HGTV
교양/다큐,223,BBC Lifestyle
교양/다큐,225,MUSEUM
교양/다큐,226,LOVE NATURE
교양/다큐,227,Animal Planet
교양/다큐,232,메조라이브 HD
교양/다큐,233,STINGRAY cmusic
공공/종교,64,국민방송
공공/종교,65,국회방송
공공/종교,148,다문화TV
공공/종교,199,복지TV
공공/종교,242,방송대학TV
공공/종교,244,국방TV
공공/종교,246,소상공인시장tv
공공/종교,250,법률방송
공공/종교,251,연합뉴스TV JOB
공공/종교,252,육아방송
공공/종교,253,지방자치TV
공공/종교,269,CTS
공공/종교,271,CGN
공공/종교,272,C채널
공공/종교,273,GOODTV
공공/종교,274,가톨릭평화방송
공공/종교,276,BBS
공공/종교,277,상생방송
공공/종교,245,tbs방송
공공/종교,247,MGTV
공공/종교,257,EyTV
공공/종교,270,CBS
공공/종교,275,BTN
공공/종교,278,원음방송
드라마,35,MBC드라마넷
드라마,31,KBS드라마
드라마,69,MBC ON
드라마,72,ENA
드라마,63,CNTV
드라마,66,디원
드라마,67,엣지TV
드라마,68,하이라이트TV
드라마,71,드라마큐브
드라마,74,KBS Story
드라마,70,Dramax
드라마,73,ENA DRAMA
드라마,75,HQ+
드라마,133,ONCE
